c_name,m_name,t_name,init_method,epsilon,pc_name,date,m,n,k,iteration,exec_time,qr_time,manip_time,bw_time,obj_fun,U_norm,V_norm
pretest,vegeta,100_sketching_g_1e-08,sketching_g,1e-08,PC_Giacominico,2024-12-18 18:00:22,735,735,100,81,72.69542312622069,1.8309295177459641,69.79917764663696,1.0653159618377617,1726.6214275017855,1345.215003782158,844.773937818688
pretest,vegeta,10_rand_n_1e-08,rand_n,1e-08,PC_Giacominico,2024-12-18 16:16:55,735,735,10,41,4.043230772018426,0.08175182342529169,3.916061639785763,0.0454173088073721,11940.1306214505,360.2916633416887,748.4589112733255
pretest,vegeta,10_rand_u_1e-08,rand_u,1e-08,PC_Giacominico,2024-12-18 16:14:42,735,735,10,39,3.641637802124018,0.0441629886627186,3.549338817596432,0.048135995864867595,11940.130672514262,610.2291235316952,461.5818867428351
pretest,vegeta,10_scaled_n_1e-08,scaled_n,1e-08,PC_Giacominico,2024-12-18 16:22:08,735,735,10,36,3.7064979076385463,0.0519430637359614,3.6205992698669407,0.0339555740356442,11940.130625360664,85.32287076503702,2530.602903750793
pretest,vegeta,10_scaled_u_1e-08,scaled_u,1e-08,PC_Giacominico,2024-12-18 16:19:21,735,735,10,42,4.125488281249994,0.018274784088133697,4.034803152084346,0.0724103450775135,11940.130662089292,88.85098191580133,2303.0026137724703
pretest,vegeta,10_semi-orthogonal_1e-08,semi-orthogonal,1e-08,PC_Giacominico,2024-12-18 17:55:23,735,735,10,36,3.2237763404846156,0.006457567214965499,3.180515289306638,0.036803483963012404,11940.130643625367,7213.166637228476,26.7638723613835
pretest,vegeta,10_sketching_b_1e-08,sketching_b,1e-08,PC_Giacominico,2024-12-18 18:01:37,735,735,10,35,3.4044380187988232,0.0382590293884267,3.3136303424835174,0.052548646926879106,11940.130598028518,529.0689471760965,482.2166688893472
pretest,vegeta,10_sketching_g_1e-08,sketching_g,1e-08,PC_Giacominico,2024-12-18 17:59:30,735,735,10,34,3.234855413436885,0.0199873447418209,3.1660397052764857,0.048828363418578796,11940.13065601346,402.46839005248296,488.42695306732014
pretest,vegeta,1_rand_n_1e-08,rand_n,1e-08,PC_Giacominico,2024-12-18 16:16:54,735,735,1,7,0.10897660255432069,0.0,0.10796976089477489,0.0010068416595458,31217.79135349068,97.94045714315271,654.5071040424405
pretest,vegeta,1_rand_u_1e-08,rand_u,1e-08,PC_Giacominico,2024-12-18 16:14:40,735,735,1,5,0.0683493614196771,0.0020282268524169002,0.0661809444427485,0.0001401901245117,31217.79135287611,114.8742129902352,558.0253679657932
